str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
黄昏の洋館メモ,"One of our researchers was killed by a synthetic beast today. {@}Modern technology could not control the man-made weapon...{@}This laboratory will be abandoned once and for all.{@}I leave hope for the next generation.{@}A.D. 2099, Artificial Life Research Institute, Director Boid.",今日も合成獣により研究員の一人が殺害された{@}現代の技術では人造兵器をコントロールすることは出来なかった{@}この研究所はただ今をもって放棄する{@}次の世代に望みを託す{@}A.D.2099 人工生命研究所長 ボイド,今天我们一名研究人员遭到了合成兽的杀害。{@}现代技术还无法掌控人造兵器。{@}这家研究所彻底废弃了。{@}我只能寄希望于下一代了。{@}A.D.2099 人工生命研究所长 博伊德,오늘도 연구원 한 명이 합성수에게 살해당했다{@}현대의 기술로는 인조병기를 제어할 수 없었다{@}이 연구소는 현 시간부로 포기한다{@}다음 세대에게 희망을 걸겠다{@}A.D.2099 인공생명연구소장 보이드,今天也有一名研究人員遭到了合成獸的殺害。{@}現代技術還無法掌控人造兵器。{@}這家研究所徹底廢棄了。{@}我只能將希望寄託於下一代了。{@}A.D.2099 人工生命研究所長 博伊德,"Uno de nuestros investigadores fue asesinado por una bestia sintética hoy.{@}La tecnología moderna no pudo controlar el arma hecha por el hombre...{@}Este laboratorio será abandonado para siempre.{@}Dejo la esperanza para la próxima generación.{@}A.D. 2099, Instituto de Investigación de Vida Artificial, Director Boid.",วันนี้นักวิจัยของเราถูกฆ่าโดยสัตว์สังเคราะห์{@}เทคโนโลยีสมัยใหม่ไม่สามารถควบคุมอาวุธที่มนุษย์สร้างขึ้นได้...{@}ห้องปฏิบัติการนี้จะถูกทิ้งในที่สุด{@}ฉันฝากความหวังไว้กับคนรุ่นต่อไป{@}A.D.2099 สถาบันวิจัยชีวิตเทียม ผู้อำนวยการบอยด์,"Um dos nossos pesquisadores foi morto por uma besta sintética hoje.{@}A tecnologia moderna não conseguiu controlar a arma feita pelo homem...{@}Este laboratório será abandonado de vez.{@}Deixo esperança para a próxima geração.{@}A.D. 2099, Instituto de Pesquisa de Vida Artificial, Diretor Boid.","Heute wurde einer unserer Forscher von einem synthetischen Biest getötet.{@}Die moderne Technologie konnte die menschengemachte Waffe nicht kontrollieren...{@}Dieses Labor wird ein für alle Mal aufgegeben.{@}Ich hinterlasse Hoffnung für die nächste Generation.{@}A.D. 2099, Institut für künstliches Leben, Direktor Boid.","L'un de nos chercheurs a été tué par une bête synthétique aujourd'hui. {@}La technologie moderne n'a pas pu contrôler l'arme artificielle...{@}Ce laboratoire sera abandonné une bonne fois pour toutes.{@}Je laisse l'espoir à la prochaine génération.{@}A.D. 2099, Institut de Recherche sur la Vie Artificielle, Directeur Boid."
濃霧の古戦場メモ,"I can beat these guys if I hit them, and they're not ghosts... {@}It's okay if I call myself a psychic medium because it'll make it easier to get a job... {@}Let's beat them quickly and get the money and go home... {@}I can't believe humans used to fight each other.",こいつら叩けば倒せるし、幽霊じゃないよなぁ{@}霊媒師って名乗れば仕事とりやすいからいいけどさ{@}さっさと倒して金貰って帰ろう{@}昔は人間同士で争っていたなんて信じられないよ,"这些家伙我还是能够应付的，他们不是幽灵。{@}如果自称灵媒师就好了，因为这样可以更容易找到工作。{@}赶紧解决它们，拿完钱回家。{@}我无法相信昔日的人类会互相残杀。""","이 놈들 때리면 죽는 걸 보니, 유령은 아닌 것 같은데{@}영매사라고 속이면 일을 구하기 쉬우니까 좋긴 한데{@}후딱 해치우고 돈 받고 돌아가야지{@}옛날엔 사람들끼리 싸웠다니 믿겨지지 않네",這些傢伙我還是能夠應付的，他們不是幽靈。{@}如果自稱靈媒師就好了，因為這樣可以更容易找到工作。{@}趕緊解決它們，拿完錢回家。{@}我不敢相信昔日的人類會互相殘殺。,"Puedo vencer a estos tipos si los golpeo, y no son fantasmas...{@}Está bien si me llamo a mí mismo un médium psíquico porque será más fácil conseguir un trabajo...{@}Derrotemoslos rápidamente, obtengamos el dinero y volvamos a casa...{@}No puedo creer que los humanos solían pelear entre sí.",ฉันสามารถเอาชนะพวกนี้ได้ถ้าฉันตีพวกมัน และพวกมันไม่ใช่ผี...{@}มันโอเคถ้าฉันเรียกตัวเองว่าสื่อเพราะจะหางานได้ง่ายขึ้น...{@}มาจัดการพวกมันให้เร็วแล้วเอาเงินแล้วกลับบ้าน...{@}ฉันไม่อยากเชื่อว่ามนุษย์เคยต่อสู้กันเอง,"Posso vencer esses caras se eu os atacar, e eles não são fantasmas...{@}Tudo bem me chamar de médium psíquico porque vai facilitar conseguir um trabalho...{@}Vamos derrotá-los rapidamente, pegar o dinheiro e voltar para casa...{@}Não consigo acreditar que os humanos costumavam lutar entre si.","Ich kann diese Typen besiegen, wenn ich sie treffe, und sie sind keine Geister...{@}Es ist in Ordnung, wenn ich mich als Hellseher bezeichne, weil es einfacher macht, einen Job zu bekommen...{@}Lasst uns sie schnell besiegen, das Geld nehmen und nach Hause gehen...{@}Ich kann nicht glauben, dass Menschen früher gegeneinander gekämpft haben.","Je peux battre ces types si je les frappe, et ce ne sont pas des fantômes... {@}C'est bon si je me fais passer pour un médium, ça facilitera l'obtention d'un travail... {@}Bats-les vite, prends l'argent et rentrons... {@}Je n'arrive pas à croire que les humains se battaient autrefois entre eux."
朽ちかけた紙切れ,Decaying piece of paper,朽ちかけた紙切れ,腐烂的纸片,썩어가는 종이 조각,腐爛的紙片,Papel en descomposición,กระดาษที่เน่าเปื่อย,Papel em decomposição,Verfallendes Stück Papier,Morceau de papier en décomposition
発見済のキーワード,Discovered keywords,発見済のキーワード,发现的关键字,이미 발견한 키워드,發現的關鍵字,Palabras clave descubiertas,คำสำคัญที่ค้นพบ,Palavras-chave descobertas,Entdeckte Schlüsselwörter,Mots-clés découverts
朽ちかけた紙切れ 1,Decaying piece of paper 1,朽ちかけた紙切れ 1,腐烂的纸片 1,썩어가는 종이 조각 1,腐爛的紙片 1,Papel en descomposición 1,กระดาษที่เน่าเปื่อย 1,Papel em decomposição 1,Verfallendes Stück Papier 1,Morceau de papier en décomposition 1
朽ちかけた紙切れ 2,Decaying piece of paper 2,朽ちかけた紙切れ 2,腐烂的纸片 2,썩어가는 종이 조각 2,腐爛的紙片 2,Papel en descomposición 2,กระดาษที่เน่าเปื่อย 2,Papel em decomposição 2,Verfallendes Stück Papier 2,Morceau de papier en décomposition 2
朽ちかけた紙切れ 3,Decaying piece of paper 3,朽ちかけた紙切れ 3,腐烂的纸片 3,썩어가는 종이 조각 3,腐爛的紙片 3,Papel en descomposición 3,กระดาษที่เน่าเปื่อย 3,Papel em decomposição 3,Verfallendes Stück Papier 3,Morceau de papier en décomposition 3
朽ちかけた紙切れ 4,Decaying piece of paper 4,朽ちかけた紙切れ 4,腐烂的纸片 4,썩어가는 종이 조각 4,腐爛的紙片 4,Papel en descomposición 4,กระดาษที่เน่าเปื่อย 4,Papel em decomposição 4,Verfallendes Stück Papier 4,Morceau de papier en décomposition 4
朽ちかけた紙切れを見つけた,Found a decaying piece of paper.,朽ちかけた紙切れを見つけた,发现腐烂的纸片,썩어가는 종이 조각을 발견했다,發現了腐爛的紙片,Encontré un papel en descomposición.,พบกระดาษที่เน่าเปื่อย,Encontrei um papel em decomposição.,Ein verfallendes Stück Papier gefunden.,Un morceau de papier en décomposition trouvé.
かすれた手書きの文字が書かれている,Faint handwriting is written on it.,かすれた手書きの文字が書かれている,上面的字迹早已模糊不清,희미하게 손글씨가 적혀 있다,上面的字跡早已模糊不清,Hay escritura débil escrita en él.,มีลายมือที่จางเขียนอยู่,Há uma escrita fraca nele.,Schwache Handschrift ist darauf geschrieben.,Une écriture faible y est inscrite.
文字を読んだとたん、紙切れは朽ち落ちてしまった,"As soon as read the words, the piece of paper fell into decay.",文字を読んだとたん、紙切れは朽ち落ちてしまった,刚要阅读文字，纸片就化为了灰烬,"글씨를 다 읽자, 종이 조각이 완전히 썩어 없어졌다",剛要閱讀文字，紙片就化為了灰燼,"Tan pronto como leí las palabras, el papel se desmoronó en decadencia.",ทันทีที่อ่านคำพูดนั้น กระดาษก็เน่าเปื่อยหายไป,"Assim que li as palavras, o papel caiu em decadência.","Sobald die Worte gelesen wurden, zerfiel das Stück Papier.","Dès que les mots ont été lus, le morceau de papier s'est désagrégé."
書類の束を見つけた,Found a bundle of papers.,書類の束を見つけた,发现一沓文件,서류 뭉치를 찾았다,發現了一沓文件,Encontré un montón de papeles.,พบกองเอกสาร,Encontrei um monte de papéis.,Ein Bündel Papiere gefunden.,Un paquet de papiers trouvé.
床に散乱する書類の中から数枚を拾い上げた,Picked up a few sheets from the papers scattered on the floor.,床に散乱する書類の中から数枚を拾い上げた,捡起几张散乱在楼层的纸张,바닥에 흩어져 있는 서류들 중에서 몇 장을 집어 들었다,從散落在地板上的文件中撿起幾張,Recogí unas hojas de los papeles esparcidos en el suelo.,หยิบกระดาษสองสามแผ่นจากที่กระจัดกระจายอยู่บนพื้น,Peguei algumas folhas dos papéis espalhados no chão.,Von den auf dem Boden verstreuten Papieren wurden einige Blätter aufgehoben.,Quelques feuilles ramassées parmi celles éparpillées sur le sol.
戦況報告書A.D.2195,"“War report, A.D.2195”",“戦況報告書　A.D.2195”,“战况报告书　A.D.2195”,“전황 보고서 A.D.2195”,“戰況報告書　A.D.2195“,"Informe de guerra, A.D.2195",รายงานสงคราม A.D. 2195,"Relatório de guerra, A.D. 2195","“Kriegsbericht, A.D.2195”","« Rapport de guerre, A.D.2195 »"
戦況報告書A.D.2195内容,"We have suffered many casualties in our battles with the demon race, and with most of the earth taken by the demon race, we humans spend our days hiding in The Rift of Dimension... {@}In order to reverse this overwhelming disadvantage, we will concentrate all of our national power into developing battle androids.{@}And let them fight in place of humans, and reclaim our earth!",これまでに魔族との戦いでたくさんの犠牲者を出してきました{@}地上の大半を魔族に奪われ、我々人類は次元の裂け目に潜む日々…{@}圧倒的不利なこの状況を覆すため、国力の全てを戦闘用アンドロイドの開発に集中させます{@}そしてアンドロイドを人類の代わりに戦わせ、我々の地上を取り戻すのです,我们在与魔族的战争中伤亡惨重{@}它们已经占领了地球的大部分地区，而我们人类则终日躲在次元的裂缝中...{@}为了扭转这种压倒性的劣势，我们将举国之力开发战斗机器人，{@}让它们代表我们战斗，帮助我们夺回我们的地球!,"지금까지의 마족과의 전투에서 많은 희생자가 나왔습니다{@}지상의 대부분을 마족에게 빼앗기고 우리들 인류는 매일같이 차원의 틈새 속으로 파고들 수 밖에 없었죠…{@}압도적으로 불리한 이 상황을 뒤집기 위해, 모든 국력을 전투용 안드로이드 개발에 집중시키겠습니다{@}그리고 안드로이드에게 인류를 대신해 싸우게 하고, 우리들의 지상을 되찾는 것입니다",至今為止，我們在與魔族的戰爭中傷亡慘重{@}它們已經占領了地球的大部分地區，而我們人類則終日躲在次元的裂縫中……{@}為了扭轉這種壓倒性的劣勢，我們將集中國力開發戰鬥機器人，{@}讓它們代替人類戰鬥，幫助我們奪回地球！,"Hemos sufrido muchas bajas en nuestras batallas con la raza demoníaca, y con la mayor parte de la tierra tomada por la raza demoníaca, nosotros, los humanos, pasamos nuestros días escondidos en la Grieta de la Dimensión...{@}Para revertir esta desventaja abrumadora, concentraremos todo nuestro poder nacional en desarrollar androides de combate.{@}¡Y dejemos que ellos luchen en lugar de los humanos, y reclamemos nuestra tierra!",เราสูญเสียชีวิตจำนวนมากจากการต่อสู้กับเผ่าปีศาจ และพื้นที่ส่วนใหญ่บนโลกถูกยึดไป...{@}เพื่อกลับสถานการณ์เสียเปรียบอย่างล้นหลามนี้ เราจะทุ่มพลังแห่งชาติทั้งหมดไปที่การพัฒนาแอนดรอยด์ต่อสู้...{@}ให้พวกมันต่อสู้แทนมนุษย์และทวงคืนแผ่นดินของเรา!,"Sofremos muitas baixas em nossas batalhas contra a raça demoníaca, e com a maior parte da terra tomada pela raça demoníaca, nós, humanos, passamos nossos dias escondidos na Fenda da Dimensão...{@}Para reverter esta desvantagem esmagadora, concentraremos todo o nosso poder nacional no desenvolvimento de androides de combate.{@}E deixemos que eles lutem no lugar dos humanos, e recuperemos nossa terra!","Wir haben viele Verluste in unseren Kämpfen gegen die Dämonenrasse erlitten, und da die Dämonenrasse den Großteil der Erde eingenommen hat, verbringen wir Menschen unsere Tage versteckt in der Dimensionsspalte...{@}Um diesen überwältigenden Nachteil umzukehren, werden wir unsere gesamte nationale Macht auf die Entwicklung von Kampfandroiden konzentrieren.{@}Und sie anstelle der Menschen kämpfen lassen, um unsere Erde zurückzuerobern!","Nous avons subi de nombreuses pertes dans nos batailles contre la race démoniaque, et avec la majeure partie de la terre prise par celle-ci, nous, humains, passons nos journées cachés dans la Faille Dimensionnelle... {@}Pour inverser cet écrasant désavantage, nous allons concentrer toute notre puissance nationale sur le développement d'androïdes de combat.{@}Et les laisser se battre à la place des humains et reprendre notre terre !"
